Date,Sender,Recipient,Place of Dispatch,Place of Destination,Dispatch_GeoNames,Destination_GeoNames,link,Dispatch_Lat,Dispatch_Lon,Destination_Lat,Destination_Lon,Distance_km
[3. Oktober 1801],August Wilhelm von Schlegel,Sophie Bernhardi,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/16?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
[13. Oktober 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/17?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
[13. Oktober 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/18?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
[14. Oktober 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/19?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
[ca. 20. Oktober 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/20?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
"Montag, 20. Dezember 1802",August Wilhelm von Schlegel,Bernhard Rudolf Abeken,Berlin,Hamburg,https://www.geonames.org/2950159,https://www.geonames.org/2911298,https://briefe-der-romantik.de/letters/view/22?left=text&query_id=6773ee556fe85,52.52437,13.41053,53.55073,9.99302,256.0856825945535
[ca. 1. April 1801],August Wilhelm von Schlegel,Friedrich von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/480?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
"Samstag, 26. September 1801",August Wilhelm von Schlegel,Carl Friedrich Ernst Frommann,Weimar,Jena,https://www.geonames.org/2812482,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/481?left=text&query_id=6773ee556fe85,50.9803,11.32903,50.92878,11.5899,19.205499834259964
"Montag, 22. Mai 1797",August Wilhelm von Schlegel,Johann Gottfried von Herder,Jena,Jena,https://www.geonames.org/2895044,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/482?left=text&query_id=6773ee556fe85,50.92878,11.5899,50.92878,11.5899,0.0
"Donnerstag, 25. Mai 1797",August Wilhelm von Schlegel,Johann Joachim Eschenburg,Jena,Braunschweig,https://www.geonames.org/2895044,https://www.geonames.org/2945024,https://briefe-der-romantik.de/letters/view/483?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.26594,10.52673,166.0084473860382
"Montag,  5. Juni 1797",Johann Joachim Eschenburg,August Wilhelm von Schlegel,Braunschweig,Jena,https://www.geonames.org/2945024,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/484?left=text&query_id=6773ee556fe85,52.26594,10.52673,50.92878,11.5899,166.0084473860382
"Freitag, 28. Juli 1797",August Wilhelm von Schlegel,Johann Joachim Eschenburg,Jena,Braunschweig,https://www.geonames.org/2895044,https://www.geonames.org/2945024,https://briefe-der-romantik.de/letters/view/485?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.26594,10.52673,166.0084473860382
"Montag, 20. November 1797",Johann Joachim Eschenburg,August Wilhelm von Schlegel,Braunschweig,Jena,https://www.geonames.org/2945024,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/486?left=text&query_id=6773ee556fe85,52.26594,10.52673,50.92878,11.5899,166.0084473860382
"Mittwoch,  7. März 1798",August Wilhelm von Schlegel,Johann Joachim Eschenburg,Jena,Braunschweig,https://www.geonames.org/2895044,https://www.geonames.org/2945024,https://briefe-der-romantik.de/letters/view/487?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.26594,10.52673,166.0084473860382
"Montag, 15. Oktober 1798",Johann Joachim Eschenburg,August Wilhelm von Schlegel,Braunschweig,Jena,https://www.geonames.org/2945024,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/488?left=text&query_id=6773ee556fe85,52.26594,10.52673,50.92878,11.5899,166.0084473860382
"Samstag, 11. Juni 1791",August Wilhelm von Schlegel,Gottfried August Bürger,Amsterdam,Göttingen,https://www.geonames.org/2759794,https://www.geonames.org/2918632,https://briefe-der-romantik.de/letters/view/495?left=text&query_id=6773ee556fe85,52.37403,4.88969,51.53443,9.93228,358.95008577875365
"Samstag,  2. Juli 1791",August Wilhelm von Schlegel,Gottfried August Bürger,Amsterdam,Göttingen,https://www.geonames.org/2759794,https://www.geonames.org/2918632,https://briefe-der-romantik.de/letters/view/496?left=text&query_id=6773ee556fe85,52.37403,4.88969,51.53443,9.93228,358.95008577875365
"Montag, 31. Oktober 1791",Gottfried August Bürger,August Wilhelm von Schlegel,Göttingen,Amsterdam,https://www.geonames.org/2918632,https://www.geonames.org/2759794,https://briefe-der-romantik.de/letters/view/497?left=text&query_id=6773ee556fe85,51.53443,9.93228,52.37403,4.88969,358.95008577875365
"Samstag, 19. November 1791",August Wilhelm von Schlegel,Gottfried August Bürger,Amsterdam,Göttingen,https://www.geonames.org/2759794,https://www.geonames.org/2918632,https://briefe-der-romantik.de/letters/view/498?left=text&query_id=6773ee556fe85,52.37403,4.88969,51.53443,9.93228,358.95008577875365
"Montag, 30. Juli 1792",Gottfried August Bürger,August Wilhelm von Schlegel,Göttingen,Amsterdam,https://www.geonames.org/2918632,https://www.geonames.org/2759794,https://briefe-der-romantik.de/letters/view/499?left=text&query_id=6773ee556fe85,51.53443,9.93228,52.37403,4.88969,358.95008577875365
"Donnerstag, 16. August 1798",Henriette Mendelssohn,August Wilhelm von Schlegel,Berlin,Dresden,https://www.geonames.org/2950159,https://www.geonames.org/2935022,https://briefe-der-romantik.de/letters/view/503?left=text&query_id=6773ee556fe85,52.52437,13.41053,51.05089,13.73832,165.49664636314398
"Samstag,  2. März 1799",Henriette Mendelssohn,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/504?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
"Dienstag, 18. Dezember 1798",Henriette Mendelssohn,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/505?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
"Freitag, 21. August 1801",August Wilhelm von Schlegel,Sophie Bernhardi,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/507?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Montag, 24. August 1801",August Wilhelm von Schlegel,Sophie Bernhardi,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/508?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Montag,  8. November 1802",August Wilhelm von Schlegel,Carl Gustav von Brinckmann,Berlin,Berlin,https://www.geonames.org/2950159,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/525?left=text&query_id=6773ee556fe85,52.52437,13.41053,52.52437,13.41053,0.0
"Samstag, 17. August 1799",Ludwig Ferdinand Huber,August Wilhelm von Schlegel,Stuttgart,Jena,https://www.geonames.org/2825297,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/530?left=text&query_id=6773ee556fe85,48.78232,9.17702,50.92878,11.5899,295.0985493061913
"Sonntag, 15. Juli 1798",August Wilhelm von Schlegel,Gottlieb Hufeland,Dresden,Jena,https://www.geonames.org/2935022,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/543?left=text&query_id=6773ee556fe85,51.05089,13.73832,50.92878,11.5899,151.45201225793235
"Dienstag, 26. März 1799",Dorothea von Schlegel,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/546?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
"Samstag, 28. Dezember 1799",August Wilhelm von Schlegel,Ludwig Ferdinand Huber,Jena,Jena,https://www.geonames.org/2895044,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/567?left=text&query_id=6773ee556fe85,50.92878,11.5899,50.92878,11.5899,0.0
[24. Februar 1801],Caroline von Schelling,August Wilhelm von Schlegel,Braunschweig,Berlin,https://www.geonames.org/2945024,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/666?left=text&query_id=6773ee556fe85,52.26594,10.52673,52.52437,13.41053,198.3863093729822
[27. Februar 1801],Caroline von Schelling,August Wilhelm von Schlegel,Braunschweig,Berlin,https://www.geonames.org/2945024,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/667?left=text&query_id=6773ee556fe85,52.26594,10.52673,52.52437,13.41053,198.3863093729822
[1. bis 2. März 1801],Caroline von Schelling,August Wilhelm von Schlegel,Braunschweig,Berlin,https://www.geonames.org/2945024,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/668?left=text&query_id=6773ee556fe85,52.26594,10.52673,52.52437,13.41053,198.3863093729822
5. [bis 6.] März [1801],Caroline von Schelling,August Wilhelm von Schlegel,Braunschweig,Berlin,https://www.geonames.org/2945024,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/669?left=text&query_id=6773ee556fe85,52.26594,10.52673,52.52437,13.41053,198.3863093729822
16. März [1801],Caroline von Schelling,August Wilhelm von Schlegel,Braunschweig,Berlin,https://www.geonames.org/2945024,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/670?left=text&query_id=6773ee556fe85,52.26594,10.52673,52.52437,13.41053,198.3863093729822
"Donnerstag, 26. März 1801 bis Freitag, 27. März 1801",Caroline von Schelling,August Wilhelm von Schlegel,Braunschweig,Berlin,https://www.geonames.org/2945024,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/671?left=text&query_id=6773ee556fe85,52.26594,10.52673,52.52437,13.41053,198.3863093729822
"Samstag,  4. April 1801 bis Sonntag,  5. April 1801",Caroline von Schelling,August Wilhelm von Schlegel,"Harburg, Elbe",Berlin,https://www.geonames.org/2910685,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/672?left=text&query_id=6773ee556fe85,53.46057,9.98388,52.52437,13.41053,252.54967927971825
"Freitag, 10. April 1801",Caroline von Schelling,August Wilhelm von Schlegel,Hamburg,Berlin,https://www.geonames.org/2911298,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/673?left=text&query_id=6773ee556fe85,53.55073,9.99302,52.52437,13.41053,256.0856825945535
"Dienstag, 14. April 1801",Caroline von Schelling,August Wilhelm von Schlegel,"Harburg, Elbe",Berlin,https://www.geonames.org/2910685,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/674?left=text&query_id=6773ee556fe85,53.46057,9.98388,52.52437,13.41053,252.54967927971825
"Samstag, 18. April 1801",August Wilhelm von Schlegel,Caroline von Schelling,Berlin,Braunschweig,https://www.geonames.org/2950159,https://www.geonames.org/2945024,https://briefe-der-romantik.de/letters/view/675?left=text&query_id=6773ee556fe85,52.52437,13.41053,52.26594,10.52673,198.3863093729822
20. April [1801],Caroline von Schelling,August Wilhelm von Schlegel,Braunschweig,Berlin,https://www.geonames.org/2945024,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/676?left=text&query_id=6773ee556fe85,52.26594,10.52673,52.52437,13.41053,198.3863093729822
24. April [1801],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/677?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
27. April [1801],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/678?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Dienstag,  5. Mai 1801",Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/679?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
7. [bis 8.] Mai [1801],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/680?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
11. Mai [1801],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/681?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
15. Mai [1801],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/682?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Montag, 18. Mai 1801",Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/683?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
[25. Mai] 1801,Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/684?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
31. Mai [bis 1. Juni 1801],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/685?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
7. bis 12. Juni [1801],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/686?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Montag, 22. Juni 1801",Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/687?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Montag, 29. Juni 1801",Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/688?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Montag,  6. Juli 1801",Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/689?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Freitag, 10. Juli 1801",Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/690?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Sonntag, 19. Juli 1801 bis Montag, 20. Juli 1801",Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/691?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
27. Juli [1801],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/692?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
[9. November 1801],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Dresden,https://www.geonames.org/2895044,https://www.geonames.org/2935022,https://briefe-der-romantik.de/letters/view/693?left=text&query_id=6773ee556fe85,50.92878,11.5899,51.05089,13.73832,151.45201225793235
16. November [1801],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/694?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Montag, 23. November 1801",Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/695?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Donnerstag, 26. November 1801",Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/696?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
3. Dezember [1801],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/697?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Donnerstag, 10. Dezember 1801",Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/698?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Sonntag, 20. Dezember 1801 bis Montag, 21. Dezember 1801",Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/699?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Montag, 28. Dezember 1801",Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/700?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
[4. Januar 1802],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/701?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
[4. Januar 1802],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/702?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Montag, 11. Januar 1802 bis Donnerstag, 14. Januar 1802",Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/703?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
18. Januar [1802],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/704?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Donnerstag, 21. Januar 1802",Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/705?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Dienstag, 26. Januar 1802",August Wilhelm von Schlegel,Caroline von Schelling,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/706?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
28. Januar [1802],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/707?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Montag,  1. Februar 1802",Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/708?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
8. Februar [1802],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/709?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
"Montag, 15. Februar 1802",Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/710?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
22. Februar [1802],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/711?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
1. März [1802],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/712?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
[3. März 1802],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/713?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
4. März [1802],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/714?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
8. März [1802],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/715?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
11. März [1802],Caroline von Schelling,August Wilhelm von Schlegel,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/716?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
