letter_id,Date,Sender,Recipient,place_dispatch,place_destination,dispatch_geonames_url,destination_geonames_url,dispatch_gnd_url,destination_gnd_url,date_when,date_text,date_not_before,date_not_after,note,link,dispatch_lat,dispatch_lon,destination_lat,destination_lon,distance_km,link_canonical,date_parsed,date_iso,date_inferred,dispatch_inferred,destination_inferred
11,[4. September 1801],August Wilhelm von Schlegel,Sophie Bernhardi,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://d-nb.info/gnd/4028557-1,https://d-nb.info/gnd/2004272-3,1801-09-04,[4. September 1801],,,Datum sowie Absendeort erschlossen.,https://briefe-der-romantik.de/letters/view/11?left=text,50.92878,11.5899,52.52437,13.41053,217.24707174826614,https://briefe-der-romantik.de/letters/view/11?left=text,1801-09-04,1801-09-04,True,True,False
12,[ca. 10. September 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4028557-1,1801-09-10,[ca. 10. September 1801],,,Datum sowie Absendeort erschlossen.,https://briefe-der-romantik.de/letters/view/12?left=text,52.52437,13.41053,50.92878,11.5899,217.24707174826614,https://briefe-der-romantik.de/letters/view/12?left=text,1801-09-10,1801-09-10,True,True,False
13,[Mitte September 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4028557-1,1801-09-15,[Mitte September 1801],,,Datum erschlossen.,https://briefe-der-romantik.de/letters/view/13?left=text,52.52437,13.41053,50.92878,11.5899,217.24707174826614,https://briefe-der-romantik.de/letters/view/13?left=text,1801-09-15,1801-09-15,True,False,False
14,[Ende September 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4028557-1,1801-09-30,[Ende September 1801],,,Datum erschlossen.,https://briefe-der-romantik.de/letters/view/14?left=text,52.52437,13.41053,50.92878,11.5899,217.24707174826614,https://briefe-der-romantik.de/letters/view/14?left=text,1801-09-30,1801-09-30,True,False,False
15,[ca. 30. September 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4028557-1,1801-09-30,[ca. 30. September 1801],,,Datum erschlossen.,https://briefe-der-romantik.de/letters/view/15?left=text,52.52437,13.41053,50.92878,11.5899,217.24707174826614,https://briefe-der-romantik.de/letters/view/15?left=text,1801-09-30,1801-09-30,True,False,False
16,[3. Oktober 1801],August Wilhelm von Schlegel,Sophie Bernhardi,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://d-nb.info/gnd/4028557-1,https://d-nb.info/gnd/2004272-3,1801-10-03,[3. Oktober 1801],,,Datum erschlossen.,https://briefe-der-romantik.de/letters/view/16?left=text,50.92878,11.5899,52.52437,13.41053,217.24707174826614,https://briefe-der-romantik.de/letters/view/16?left=text,1801-10-03,1801-10-03,True,False,False
17,[13. Oktober 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4028557-1,1801-10-13,[13. Oktober 1801],,,Datum sowie Absendeort erschlossen.,https://briefe-der-romantik.de/letters/view/17?left=text,52.52437,13.41053,50.92878,11.5899,217.24707174826614,https://briefe-der-romantik.de/letters/view/17?left=text,1801-10-13,1801-10-13,True,True,False
18,[13. Oktober 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4028557-1,1801-10-13,[13. Oktober 1801],,,Datum sowie Absendeort erschlossen.,https://briefe-der-romantik.de/letters/view/18?left=text,52.52437,13.41053,50.92878,11.5899,217.24707174826614,https://briefe-der-romantik.de/letters/view/18?left=text,1801-10-13,1801-10-13,True,True,False
19,[14. Oktober 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4028557-1,1801-10-14,[14. Oktober 1801],,,Datum sowie Absendeort erschlossen.,https://briefe-der-romantik.de/letters/view/19?left=text,52.52437,13.41053,50.92878,11.5899,217.24707174826614,https://briefe-der-romantik.de/letters/view/19?left=text,1801-10-14,1801-10-14,True,True,False
20,[ca. 20. Oktober 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4028557-1,1801-10-20,[ca. 20. Oktober 1801],,,Datum erschlossen.,https://briefe-der-romantik.de/letters/view/20?left=text,52.52437,13.41053,50.92878,11.5899,217.24707174826614,https://briefe-der-romantik.de/letters/view/20?left=text,1801-10-20,1801-10-20,True,False,False
21,[Herbst 1802],August Wilhelm von Schlegel,Sophie Bernhardi,Berlin,Unbekannt,https://www.geonames.org/2950159,,https://d-nb.info/gnd/2004272-3,,1802-10-01,[Herbst 1802],,,Datum erschlossen.,https://briefe-der-romantik.de/letters/view/21?left=text,52.52437,13.41053,,,,https://briefe-der-romantik.de/letters/view/21?left=text,1802-10-01,1802-10-01,True,False,False
22,"Montag, 20. Dezember 1802",August Wilhelm von Schlegel,Bernhard Rudolf Abeken,Berlin,Hamburg,https://www.geonames.org/2950159,https://www.geonames.org/2911298,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4023118-5,1802-12-20,1802-12-20,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/22?left=text,52.52437,13.41053,53.55073,9.99302,255.37613596936822,https://briefe-der-romantik.de/letters/view/22?left=text,1802-12-20,1802-12-20,False,False,True
480,[ca. 1. April 1801],August Wilhelm von Schlegel,Friedrich von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4028557-1,1801-04-01,[ca. 1. April 1801],,,Datum sowie Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/480?left=text,52.52437,13.41053,50.92878,11.5899,217.24707174826614,https://briefe-der-romantik.de/letters/view/480?left=text,1801-04-01,1801-04-01,True,False,True
481,"Samstag, 26. September 1801",August Wilhelm von Schlegel,Carl Friedrich Ernst Frommann,Weimar,Jena,https://www.geonames.org/2812482,https://www.geonames.org/2895044,https://d-nb.info/gnd/4065105-8,https://d-nb.info/gnd/4028557-1,1801-09-26,1801-09-26,,,"Empfänger erschlossen. – Es könnte auch Johann Carl Wesselhoeft gewesen sein, so die Inventarisierung im GSA.",https://briefe-der-romantik.de/letters/view/481?left=text,50.9803,11.32903,50.92878,11.5899,19.14983040814181,https://briefe-der-romantik.de/letters/view/481?left=text,1801-09-26,1801-09-26,False,False,False
482,"Montag, 22. Mai 1797",August Wilhelm von Schlegel,Johann Gottfried von Herder,Jena,Jena,https://www.geonames.org/2895044,https://www.geonames.org/2895044,https://d-nb.info/gnd/4028557-1,https://d-nb.info/gnd/4028557-1,1797-05-22,1797-05-22,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/482?left=text,50.92878,11.5899,50.92878,11.5899,0.0,https://briefe-der-romantik.de/letters/view/482?left=text,1797-05-22,1797-05-22,False,False,True
483,"Donnerstag, 25. Mai 1797",August Wilhelm von Schlegel,Johann Joachim Eschenburg,Jena,Braunschweig,https://www.geonames.org/2895044,https://www.geonames.org/2945024,https://d-nb.info/gnd/4028557-1,https://d-nb.info/gnd/42808-5,1797-05-25,1797-05-25,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/483?left=text,50.92878,11.5899,52.26594,10.52673,165.8274275444761,https://briefe-der-romantik.de/letters/view/483?left=text,1797-05-25,1797-05-25,False,False,True
484,"Montag,  5. Juni 1797",Johann Joachim Eschenburg,August Wilhelm von Schlegel,Braunschweig,Jena,https://www.geonames.org/2945024,https://www.geonames.org/2895044,https://d-nb.info/gnd/42808-5,https://d-nb.info/gnd/4028557-1,1797-06-05,1797-06-05,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/484?left=text,52.26594,10.52673,50.92878,11.5899,165.8274275444761,https://briefe-der-romantik.de/letters/view/484?left=text,1797-06-05,1797-06-05,False,False,True
485,"Freitag, 28. Juli 1797",August Wilhelm von Schlegel,Johann Joachim Eschenburg,Jena,Braunschweig,https://www.geonames.org/2895044,https://www.geonames.org/2945024,https://d-nb.info/gnd/4028557-1,https://d-nb.info/gnd/42808-5,1797-07-28,1797-07-28,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/485?left=text,50.92878,11.5899,52.26594,10.52673,165.8274275444761,https://briefe-der-romantik.de/letters/view/485?left=text,1797-07-28,1797-07-28,False,False,True
486,"Montag, 20. November 1797",Johann Joachim Eschenburg,August Wilhelm von Schlegel,Braunschweig,Jena,https://www.geonames.org/2945024,https://www.geonames.org/2895044,https://d-nb.info/gnd/42808-5,https://d-nb.info/gnd/4028557-1,1797-11-20,1797-11-20,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/486?left=text,52.26594,10.52673,50.92878,11.5899,165.8274275444761,https://briefe-der-romantik.de/letters/view/486?left=text,1797-11-20,1797-11-20,False,False,True
487,"Mittwoch,  7. März 1798",August Wilhelm von Schlegel,Johann Joachim Eschenburg,Jena,Braunschweig,https://www.geonames.org/2895044,https://www.geonames.org/2945024,https://d-nb.info/gnd/4028557-1,https://d-nb.info/gnd/42808-5,1798-03-07,1798-03-07,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/487?left=text,50.92878,11.5899,52.26594,10.52673,165.8274275444761,https://briefe-der-romantik.de/letters/view/487?left=text,1798-03-07,1798-03-07,False,False,True
488,"Montag, 15. Oktober 1798",Johann Joachim Eschenburg,August Wilhelm von Schlegel,Braunschweig,Jena,https://www.geonames.org/2945024,https://www.geonames.org/2895044,https://d-nb.info/gnd/42808-5,https://d-nb.info/gnd/4028557-1,1798-10-15,1798-10-15,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/488?left=text,52.26594,10.52673,50.92878,11.5899,165.8274275444761,https://briefe-der-romantik.de/letters/view/488?left=text,1798-10-15,1798-10-15,False,False,True
494,[Januar 1791],August Wilhelm von Schlegel,Gottfried August Bürger,Göttingen,Unbekannt,https://www.geonames.org/2918632,,https://d-nb.info/gnd/4021477-1,,1791-01-01,[Januar 1791],,,Datum erschlossen.,https://briefe-der-romantik.de/letters/view/494?left=text,51.53443,9.93228,,,,https://briefe-der-romantik.de/letters/view/494?left=text,1791-01-01,1791-01-01,True,False,False
495,"Samstag, 11. Juni 1791",August Wilhelm von Schlegel,Gottfried August Bürger,Amsterdam,Göttingen,https://www.geonames.org/2759794,https://www.geonames.org/2918632,https://d-nb.info/gnd/4001783-7,https://d-nb.info/gnd/4021477-1,1791-06-11,1791-06-11,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/495?left=text,52.37403,4.88969,51.53443,9.93228,357.8659864292988,https://briefe-der-romantik.de/letters/view/495?left=text,1791-06-11,1791-06-11,False,False,True
496,"Samstag,  2. Juli 1791",August Wilhelm von Schlegel,Gottfried August Bürger,Amsterdam,Göttingen,https://www.geonames.org/2759794,https://www.geonames.org/2918632,https://d-nb.info/gnd/4001783-7,https://d-nb.info/gnd/4021477-1,1791-07-02,1791-07-02,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/496?left=text,52.37403,4.88969,51.53443,9.93228,357.8659864292988,https://briefe-der-romantik.de/letters/view/496?left=text,1791-07-02,1791-07-02,False,False,True
497,"Montag, 31. Oktober 1791",Gottfried August Bürger,August Wilhelm von Schlegel,Göttingen,Amsterdam,https://www.geonames.org/2918632,https://www.geonames.org/2759794,https://d-nb.info/gnd/4021477-1,https://d-nb.info/gnd/4001783-7,1791-10-31,1791-10-31,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/497?left=text,51.53443,9.93228,52.37403,4.88969,357.8659864292988,https://briefe-der-romantik.de/letters/view/497?left=text,1791-10-31,1791-10-31,False,False,True
498,"Samstag, 19. November 1791",August Wilhelm von Schlegel,Gottfried August Bürger,Amsterdam,Göttingen,https://www.geonames.org/2759794,https://www.geonames.org/2918632,https://d-nb.info/gnd/4001783-7,https://d-nb.info/gnd/4021477-1,1791-11-19,1791-11-19,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/498?left=text,52.37403,4.88969,51.53443,9.93228,357.8659864292988,https://briefe-der-romantik.de/letters/view/498?left=text,1791-11-19,1791-11-19,False,False,True
499,"Montag, 30. Juli 1792",Gottfried August Bürger,August Wilhelm von Schlegel,Göttingen,Amsterdam,https://www.geonames.org/2918632,https://www.geonames.org/2759794,https://d-nb.info/gnd/4021477-1,https://d-nb.info/gnd/4001783-7,1792-07-30,1792-07-30,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/499?left=text,51.53443,9.93228,52.37403,4.88969,357.8659864292988,https://briefe-der-romantik.de/letters/view/499?left=text,1792-07-30,1792-07-30,False,False,True
500,"Freitag, 28. September 1792",Gottfried August Bürger,August Wilhelm von Schlegel,Göttingen,Unbekannt,https://www.geonames.org/2918632,,https://d-nb.info/gnd/4021477-1,,1792-09-28,1792-09-28,,,,https://briefe-der-romantik.de/letters/view/500?left=text,51.53443,9.93228,,,,https://briefe-der-romantik.de/letters/view/500?left=text,1792-09-28,1792-09-28,False,False,False
503,"Donnerstag, 16. August 1798",Henriette Mendelssohn,August Wilhelm von Schlegel,Berlin,Dresden,https://www.geonames.org/2950159,https://www.geonames.org/2935022,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/37172-5,1798-08-16,1798-08-16,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/503?left=text,52.52437,13.41053,51.05089,13.73832,165.38723992329517,https://briefe-der-romantik.de/letters/view/503?left=text,1798-08-16,1798-08-16,False,False,True
504,"Samstag,  2. März 1799",Henriette Mendelssohn,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4028557-1,1799-03-02,1799-03-02,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/504?left=text,52.52437,13.41053,50.92878,11.5899,217.24707174826614,https://briefe-der-romantik.de/letters/view/504?left=text,1799-03-02,1799-03-02,False,False,True
505,"Dienstag, 18. Dezember 1798",Henriette Mendelssohn,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4028557-1,1798-12-18,1798-12-18,,,,https://briefe-der-romantik.de/letters/view/505?left=text,52.52437,13.41053,50.92878,11.5899,217.24707174826614,https://briefe-der-romantik.de/letters/view/505?left=text,1798-12-18,1798-12-18,False,False,False
507,"Freitag, 21. August 1801",August Wilhelm von Schlegel,Sophie Bernhardi,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://d-nb.info/gnd/4028557-1,https://d-nb.info/gnd/2004272-3,1801-08-21,1801-08-21,,,,https://briefe-der-romantik.de/letters/view/507?left=text,50.92878,11.5899,52.52437,13.41053,217.24707174826614,https://briefe-der-romantik.de/letters/view/507?left=text,1801-08-21,1801-08-21,False,False,False
508,"Montag, 24. August 1801",August Wilhelm von Schlegel,Sophie Bernhardi,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://d-nb.info/gnd/4028557-1,https://d-nb.info/gnd/2004272-3,1801-08-24,1801-08-24,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/508?left=text,50.92878,11.5899,52.52437,13.41053,217.24707174826614,https://briefe-der-romantik.de/letters/view/508?left=text,1801-08-24,1801-08-24,False,False,True
525,"Montag,  8. November 1802",August Wilhelm von Schlegel,Carl Gustav von Brinckmann,Berlin,Berlin,https://www.geonames.org/2950159,https://www.geonames.org/2950159,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/2004272-3,1802-11-08,1802-11-08,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/525?left=text,52.52437,13.41053,52.52437,13.41053,0.0,https://briefe-der-romantik.de/letters/view/525?left=text,1802-11-08,1802-11-08,False,False,True
530,"Samstag, 17. August 1799",Ludwig Ferdinand Huber,August Wilhelm von Schlegel,Stuttgart,Jena,https://www.geonames.org/2825297,https://www.geonames.org/2895044,https://d-nb.info/gnd/4058282-6,https://d-nb.info/gnd/4028557-1,1799-08-17,1799-08-17,,,,https://briefe-der-romantik.de/letters/view/530?left=text,48.78232,9.17702,50.92878,11.5899,294.73140878034116,https://briefe-der-romantik.de/letters/view/530?left=text,1799-08-17,1799-08-17,False,False,False
543,"Sonntag, 15. Juli 1798",August Wilhelm von Schlegel,Gottlieb Hufeland,Dresden,Jena,https://www.geonames.org/2935022,https://www.geonames.org/2895044,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/4028557-1,1798-07-15,1798-07-15,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/543?left=text,51.05089,13.73832,50.92878,11.5899,150.97994956852912,https://briefe-der-romantik.de/letters/view/543?left=text,1798-07-15,1798-07-15,False,False,True
546,"Dienstag, 26. März 1799",Dorothea von Schlegel,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4028557-1,1799-03-26,1799-03-26,,,,https://briefe-der-romantik.de/letters/view/546?left=text,52.52437,13.41053,50.92878,11.5899,217.24707174826614,https://briefe-der-romantik.de/letters/view/546?left=text,1799-03-26,1799-03-26,False,False,False
567,"Samstag, 28. Dezember 1799",August Wilhelm von Schlegel,Ludwig Ferdinand Huber,Jena,Jena,https://www.geonames.org/2895044,https://www.geonames.org/2895044,https://d-nb.info/gnd/4028557-1,https://d-nb.info/gnd/4028557-1,1799-12-28,1799-12-28,,,"Empfangsort erschlossen. Der Brief sollte ursprünglich nach Stuttgart geschickt werden. Schlegel behielt ihn aber zurück, um ihn persönlich zu übergeben.",https://briefe-der-romantik.de/letters/view/567?left=text,50.92878,11.5899,50.92878,11.5899,0.0,https://briefe-der-romantik.de/letters/view/567?left=text,1799-12-28,1799-12-28,False,False,True
666,[24. Februar 1801],Caroline von Schelling,August Wilhelm von Schlegel,Braunschweig,Berlin,https://www.geonames.org/2945024,https://www.geonames.org/2950159,https://d-nb.info/gnd/42808-5,https://d-nb.info/gnd/2004272-3,1801-02-24,[24. Februar 1801],,,Datum sowie Absende- und Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/666?left=text,52.26594,10.52673,52.52437,13.41053,197.75828530303968,https://briefe-der-romantik.de/letters/view/666?left=text,1801-02-24,1801-02-24,True,True,True
667,[27. Februar 1801],Caroline von Schelling,August Wilhelm von Schlegel,Braunschweig,Berlin,https://www.geonames.org/2945024,https://www.geonames.org/2950159,https://d-nb.info/gnd/42808-5,https://d-nb.info/gnd/2004272-3,1801-02-27,[27. Februar 1801],,,Datum sowie Absende- und Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/667?left=text,52.26594,10.52673,52.52437,13.41053,197.75828530303968,https://briefe-der-romantik.de/letters/view/667?left=text,1801-02-27,1801-02-27,True,True,True
668,[1. bis 2. März 1801],Caroline von Schelling,August Wilhelm von Schlegel,Braunschweig,Berlin,https://www.geonames.org/2945024,https://www.geonames.org/2950159,https://d-nb.info/gnd/42808-5,https://d-nb.info/gnd/2004272-3,1801-03-01,[1. bis 2. März 1801],,,Datum sowie Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/668?left=text,52.26594,10.52673,52.52437,13.41053,197.75828530303968,https://briefe-der-romantik.de/letters/view/668?left=text,1801-03-01,1801-03-01,True,False,True
669,5. [bis 6.] März [1801],Caroline von Schelling,August Wilhelm von Schlegel,Braunschweig,Berlin,https://www.geonames.org/2945024,https://www.geonames.org/2950159,https://d-nb.info/gnd/42808-5,https://d-nb.info/gnd/2004272-3,1801-03-05,5. [bis 6.] März [1801],,,Datum (Tag und Jahr) sowie Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/669?left=text,52.26594,10.52673,52.52437,13.41053,197.75828530303968,https://briefe-der-romantik.de/letters/view/669?left=text,1801-03-05,1801-03-05,True,False,True
670,16. März [1801],Caroline von Schelling,August Wilhelm von Schlegel,Braunschweig,Berlin,https://www.geonames.org/2945024,https://www.geonames.org/2950159,https://d-nb.info/gnd/42808-5,https://d-nb.info/gnd/2004272-3,1801-03-16,16. März [1801],,,Datum (Jahr) sowie Absende- und Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/670?left=text,52.26594,10.52673,52.52437,13.41053,197.75828530303968,https://briefe-der-romantik.de/letters/view/670?left=text,1801-03-16,1801-03-16,True,True,True
671,"Donnerstag, 26. März 1801 bis Freitag, 27. März 1801",Caroline von Schelling,August Wilhelm von Schlegel,Braunschweig,Berlin,https://www.geonames.org/2945024,https://www.geonames.org/2950159,https://d-nb.info/gnd/42808-5,https://d-nb.info/gnd/2004272-3,,1801-03-26,1801-03-26,1801-03-27,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/671?left=text,52.26594,10.52673,52.52437,13.41053,197.75828530303968,https://briefe-der-romantik.de/letters/view/671?left=text,1801-03-26,1801-03-26,False,False,True
672,"Samstag,  4. April 1801 bis Sonntag,  5. April 1801",Caroline von Schelling,August Wilhelm von Schlegel,"Harburg, Elbe",Berlin,https://www.geonames.org/2910685,https://www.geonames.org/2950159,https://d-nb.info/gnd/4094727-0,https://d-nb.info/gnd/2004272-3,,1801-04-04,1801-04-04,1801-04-05,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/672?left=text,53.46057,9.98388,52.52437,13.41053,251.83313506678883,https://briefe-der-romantik.de/letters/view/672?left=text,1801-04-04,1801-04-04,False,False,True
